code,company,year,category,keyword,count
000001,SampleFirm,2022,artificial_intelligence,人工智能,1
000001,SampleFirm,2022,artificial_intelligence,商业智能,0
000001,SampleFirm,2022,artificial_intelligence,图像理解,0
000001,SampleFirm,2022,artificial_intelligence,投资决策辅助系统,0
000001,SampleFirm,2022,artificial_intelligence,智能数据分析,0
000001,SampleFirm,2022,artificial_intelligence,智能机器人,0
000001,SampleFirm,2022,artificial_intelligence,机器学习,0
000001,SampleFirm,2022,artificial_intelligence,深度学习,0
000001,SampleFirm,2022,artificial_intelligence,语义搜索,0
000001,SampleFirm,2022,artificial_intelligence,生物识别技术,0
000001,SampleFirm,2022,artificial_intelligence,人脸识别,0
000001,SampleFirm,2022,artificial_intelligence,语音识别,0
000001,SampleFirm,2022,artificial_intelligence,身份验证,0
000001,SampleFirm,2022,artificial_intelligence,自动驾驶,0
000001,SampleFirm,2022,artificial_intelligence,自然语言处理,0
000001,SampleFirm,2022,big_data,大数据,1
000001,SampleFirm,2022,big_data,数据挖掘,0
000001,SampleFirm,2022,big_data,文本挖掘,0
000001,SampleFirm,2022,big_data,数据可视化,0
000001,SampleFirm,2022,big_data,异构数据,0
000001,SampleFirm,2022,big_data,征信,0
000001,SampleFirm,2022,big_data,增强现实,0
000001,SampleFirm,2022,big_data,混合现实,0
000001,SampleFirm,2022,big_data,虚拟现实,0
000001,SampleFirm,2022,cloud_computing,云计算,1
000001,SampleFirm,2022,cloud_computing,流计算,0
000001,SampleFirm,2022,cloud_computing,图计算,0
000001,SampleFirm,2022,cloud_computing,内存计算,0
000001,SampleFirm,2022,cloud_computing,多方安全计算,0
000001,SampleFirm,2022,cloud_computing,类脑计算,0
000001,SampleFirm,2022,cloud_computing,绿色计算,0
000001,SampleFirm,2022,cloud_computing,认知计算,0
000001,SampleFirm,2022,cloud_computing,融合架构,0
000001,SampleFirm,2022,cloud_computing,亿级并发,0
000001,SampleFirm,2022,cloud_computing,EB级存储,0
000001,SampleFirm,2022,cloud_computing,物联网,1
000001,SampleFirm,2022,cloud_computing,信息物理系统,0
000001,SampleFirm,2022,blockchain,区块链,1
000001,SampleFirm,2022,blockchain,数字货币,0
000001,SampleFirm,2022,blockchain,分布式计算,0
000001,SampleFirm,2022,blockchain,差分隐私技术,0
000001,SampleFirm,2022,blockchain,智能金融合约,0
000001,SampleFirm,2022,digital_application,移动互联网,0
000001,SampleFirm,2022,digital_application,工业互联网,0
000001,SampleFirm,2022,digital_application,移动互联,0
000001,SampleFirm,2022,digital_application,互联网医疗,0
000001,SampleFirm,2022,digital_application,电子商务,1
000001,SampleFirm,2022,digital_application,移动支付,1
000001,SampleFirm,2022,digital_application,第三方支付,0
000001,SampleFirm,2022,digital_application,NFC支付,0
000001,SampleFirm,2022,digital_application,智能能源,0
000001,SampleFirm,2022,digital_application,B2B,0
000001,SampleFirm,2022,digital_application,B2C,0
000001,SampleFirm,2022,digital_application,C2B,0
000001,SampleFirm,2022,digital_application,C2C,0
000001,SampleFirm,2022,digital_application,O2O,0
000001,SampleFirm,2022,digital_application,网联,0
000001,SampleFirm,2022,digital_application,智能穿戴,0
000001,SampleFirm,2022,digital_application,智慧农业,0
000001,SampleFirm,2022,digital_application,智能交通,0
000001,SampleFirm,2022,digital_application,智能医疗,0
000001,SampleFirm,2022,digital_application,智能客服,0
000001,SampleFirm,2022,digital_application,智能家居,0
000001,SampleFirm,2022,digital_application,智能投顾,0
000001,SampleFirm,2022,digital_application,智能文旅,0
000001,SampleFirm,2022,digital_application,智能环保,0
000001,SampleFirm,2022,digital_application,智能电网,0
000001,SampleFirm,2022,digital_application,智能营销,1
000001,SampleFirm,2022,digital_application,数字营销,0
000001,SampleFirm,2022,digital_application,无人零售,0
000001,SampleFirm,2022,digital_application,互联网金融,0
000001,SampleFirm,2022,digital_application,数字金融,1
000001,SampleFirm,2022,digital_application,Fintech,0
000001,SampleFirm,2022,digital_application,金融科技,0
000001,SampleFirm,2022,digital_application,量化金融,0
000001,SampleFirm,2022,digital_application,开放银行,0
